2026-06-06 22:23:36 | email: user | id: 1 | Регистрация произошла успешно
2026-06-06 22:27:06 | email: user@user.ru | id: 1 | Удалён пользователь
2026-06-06 22:27:21 | email: user | id: 1 | Регистрация произошла успешно
2026-06-06 22:29:28 | email: user@user.ru | id: 1 | Удалён пользователь
2026-06-06 22:29:45 | email: user | id: 1 | Регистрация произошла успешно
2026-06-06 22:33:41 | email: user@user.ru | Неверный текущий пароль
2026-06-06 22:33:46 | email: user@user.ru | Неверный текущий пароль
2026-06-06 22:34:02 | email: user@user.ru | id: 1 | Удалён пользователь
2026-06-06 22:34:42 | email: user | id: 1 | Регистрация произошла успешно
2026-06-06 22:41:19 | title: jhgf | id: 1 | Создано новое стихотворение
2026-06-06 22:42:45 | email: user | id: 1 | Пользователь вышел из системы
2026-06-06 22:43:00 | email: user2 | id: 2 | Регистрация произошла успешно
2026-06-06 22:56:11 | email: user2 | id: 2 | Пользователь вышел из системы
2026-06-06 22:56:17 | email: user | id: 1 | Пользователь успешно авторизовался
2026-06-06 23:08:04 | title: ррр | id: 2 | Создано новое стихотворение
2026-06-06 23:10:31 | title: jhgf | id: 1 | Удалено стихотворение
2026-06-06 23:10:34 | title: ррр | id: 2 | Удалено стихотворение
2026-06-06 23:10:50 | email: user | id: 1 | Пользователь вышел из системы
2026-06-06 23:11:05 | email: user2@user.ru | Неверный пароль
2026-06-06 23:11:12 | email: user2 | id: 2 | Пользователь успешно авторизовался
2026-06-06 23:11:33 | title: g | id: 1 | Создано новое стихотворение
2026-06-06 23:11:39 | title: g | id: 2 | Создано новое стихотворение
2026-06-06 23:11:45 | title: g | id: 1 | Удалено стихотворение
2026-06-06 23:11:47 | email: user2 | id: 2 | Пользователь вышел из системы
2026-06-06 23:11:56 | email: user | id: 1 | Пользователь успешно авторизовался
2026-06-06 23:12:08 | title: user | id: 3 | Создано новое стихотворение
2026-06-06 23:12:12 | email: user | id: 1 | Пользователь вышел из системы
2026-06-06 23:12:19 | email: user2 | id: 2 | Пользователь успешно авторизовался
2026-06-06 23:12:32 | title: g | id: 2 | Удалено стихотворение
2026-06-06 23:12:37 | email: user2 | id: 2 | Пользователь вышел из системы
2026-06-06 23:12:50 | email: user | id: 1 | Пользователь успешно авторизовался
2026-06-06 23:12:54 | title: user | id: 3 | Удалено стихотворение
2026-06-06 23:13:02 | email: user@user.ru | id: 1 | Удалён пользователь
2026-06-06 23:13:08 | email: user2 | id: 2 | Пользователь успешно авторизовался
2026-06-06 23:13:12 | email: user2@user.ru | id: 2 | Удалён пользователь
2026-06-06 23:15:09 | email: user | id: 1 | Регистрация произошла успешно
2026-06-06 23:15:37 | email: user8@user.ru | id: 2 | API request: Регистрация произошла успешно
2026-06-06 23:15:51 | email: user | id: 1 | Пользователь вышел из системы
2026-06-06 23:16:11 | email: user6 | id: 2 | Пользователь успешно авторизовался
2026-06-06 23:16:16 | email: user6 | id: 2 | Пользователь вышел из системы
2026-06-06 23:16:54 | email: user | id: 1 | Пользователь успешно авторизовался
2026-06-06 23:19:26 | title: gf | id: 1 | Создано новое стихотворение
2026-06-06 23:24:09 | title: тити | id: 2 | Создано новое стихотворение
2026-06-06 23:24:18 | email: user | id: 1 | Пользователь вышел из системы
2026-06-06 23:24:35 | email: user2 | id: 3 | Регистрация произошла успешно
2026-06-06 23:25:16 | email: user2 | id: 3 | Пользователь вышел из системы
2026-06-06 23:38:29 | email: user | id: 1 | Пользователь успешно авторизовался
2026-06-06 23:38:38 | title: tds | id: 3 | Создано новое стихотворение
2026-06-06 23:39:20 | email: user | id: 1 | Пользователь вышел из системы
2026-06-06 23:39:25 | email: user2@user.ru | Неверный пароль
2026-06-06 23:39:31 | email: user2 | id: 3 | Пользователь успешно авторизовался
2026-06-06 23:39:47 | email: user2 | id: 3 | Пользователь вышел из системы
2026-06-06 23:39:53 | email: user | id: 1 | Пользователь успешно авторизовался
2026-06-06 23:44:17 | email: user | id: 1 | Пользователь вышел из системы
2026-06-06 23:44:23 | email: user2 | id: 3 | Пользователь успешно авторизовался
2026-06-06 23:44:56 | title: gfd | id: 4 | Создано новое стихотворение
2026-06-06 23:44:59 | title: gf | id: 5 | Создано новое стихотворение
2026-06-06 23:45:02 | title: gfd | id: 6 | Создано новое стихотворение
2026-06-06 23:45:05 | title: gfd | id: 7 | Создано новое стихотворение
2026-06-06 23:46:29 | email: user2 | id: 3 | Пользователь вышел из системы
2026-06-06 23:46:36 | email: user | id: 1 | Пользователь успешно авторизовался
2026-06-06 23:57:53 | email: user | id: 1 | Пользователь вышел из системы
2026-06-06 23:57:59 | email: user2 | id: 3 | Пользователь успешно авторизовался
2026-06-06 23:58:40 | email: user2 | id: 3 | Пользователь вышел из системы
